1,jkb,research billing,2018-02-22 10:16:00,2018-02-22 10:44:00,0:28,previous time 10:25 not including manteca
2,ali cox,yosemite farm,2018-02-22 10:49:00,2018-02-22 11:14:00,0:25,
3,jkb,add manteca,2018-02-22 11:57:00,2018-02-22 12:16:00,0:19,
4,gumgum,toyota denver,2018-02-22 12:16:00,2018-02-22 13:39:00,1:23,
5,pf,orders,2018-02-22 13:40:00,2018-02-22 13:52:00,0:12,
6,gumgum,volvo,2018-02-22 6:30:00,2018-02-22 8:56:00,2:26,
7,jbyer,timesheets,2018-02-22 9:00:00,2018-02-22 10:16:00,1:16,
8,jenjil,equipment update,2018-02-23 12:01:00,2018-02-23 13:25:00,1:24,
9,gumgum,volvo,2018-02-23 7:10:00,2018-02-23 7:13:00,0:03,
10,jkb,mobile update,2018-02-23 7:24:00,2018-02-23 8:15:00,0:51,
11,gumgum,volvo,2018-02-23 8:17:00,2018-02-23 8:37:00,0:20,
12,svr,mobile fix,2018-02-23 8:38:00,2018-02-23 9:08:00,0:30,
13,ami,executive summary,2018-02-23 9:33:00,2018-02-23 11:51:00,2:18,
14,ets,doj,2018-02-26 11:12:00,2018-02-26 11:20:00,0:08,
15,gumgum,toyota denver,2018-02-26 11:36:00,2018-02-26 12:31:00,0:55,
16,jkb,updates,2018-02-26 12:33:00,2018-02-26 13:05:00,0:32,
17,gumgum,volvo,2018-02-26 13:07:00,2018-02-26 13:38:00,0:31,
18,gumgum,toyota denver,2018-02-26 13:38:00,2018-02-26 15:00:00,1:22,
19,gumgum,sc honda,2018-02-26 6:25:00,2018-02-26 8:41:00,2:16,
20,ets,doj,2018-02-26 8:42:00,2018-02-26 8:53:00,0:11,
21,gumgum,volvo,2018-02-26 8:54:00,2018-02-26 11:12:00,2:18,
22,ali cox,grimbleby,2018-02-27 10:29:00,2018-02-27 10:55:00,0:26,
23,jenjil,updates,2018-02-27 10:57:00,2018-02-27 13:15:00,2:18,
24,e360,logo updates,2018-02-27 13:22:00,2018-02-27 13:40:00,0:18,
25,gumgum,toyota denver,2018-02-27 5:28:00,2018-02-27 6:39:00,1:11,
26,gumgum,honda,2018-02-27 6:40:00,2018-02-27 7:10:00,0:30,
27,gumgum,volvo,2018-02-27 7:13:00,2018-02-27 7:26:00,0:13,
28,gumgum,toyota denver,2018-02-27 8:05:00,2018-02-27 8:19:00,0:14,
29,ami,seo,2018-02-27 8:20:00,2018-02-27 10:28:00,2:08,
30,q2,plannign strategy,2018-02-28 10:41:00,2018-02-28 12:22:00,1:41,
31,ami,brazil,2018-02-28 12:46:00,2018-02-28 12:51:00,0:05,
32,pf,orders,2018-02-28 6:34:00,2018-02-28 6:54:00,0:20,
33,gumgum,volvo,2018-02-28 6:56:00,2018-02-28 7:11:00,0:15,
34,gumgum,toyota denver,2018-02-28 7:11:00,2018-02-28 7:41:00,0:30,
35,gumgum,volvo,2018-02-28 7:41:00,2018-02-28 8:48:00,1:07,
36,jenjil,website,2018-02-28 9:05:00,2018-02-28 10:41:00,1:36,
37,ets,ny state,2018-03-01 10:11:00,2018-03-01 11:00:00,0:49,
38,jenjil,website,2018-03-01 11:01:00,2018-03-01 12:07:00,1:06,
39,ami,seo,2018-03-01 12:07:00,2018-03-01 12:29:00,0:22,
40,vhr,seo,2018-03-01 12:29:00,2018-03-01 14:13:00,1:44,
41,pf,orders,2018-03-01 6:41:00,2018-03-01 6:51:00,0:10,
42,ami,seo,2018-03-01 6:55:00,2018-03-01 9:25:00,2:30,
43,jenjil,website,2018-03-01 9:26:00,2018-03-01 10:08:00,0:42,
44,gumgum,infiniti,2018-03-12 10:08:00,2018-03-12 10:45:00,0:37,
45,e360,logo review,2018-03-12 10:45:00,2018-03-12 11:38:00,0:53,
46,gumgum,infiniti,2018-03-12 11:38:00,2018-03-12 12:24:00,0:46,
47,ets,updates,2018-03-12 12:45:00,2018-03-12 13:10:00,0:25,
48,ami,seo,2018-03-12 13:14:00,2018-03-12 14:42:00,1:28,
49,pf,orders,2018-03-12 8:00:00,2018-03-12 8:11:00,0:11,
50,gumgum,honda,2018-03-12 8:11:00,2018-03-12 9:28:00,1:17,
51,gumgum,honda,2018-03-12 9:40:00,2018-03-12 10:08:00,0:28,
52,jkb,planning,2018-03-13 12:59:00,2018-03-13 15:14:00,2:15,
53,pf,orders,2018-03-13 6:29:00,2018-03-13 6:52:00,0:23,
54,ami,adwords,2018-03-13 6:52:00,2018-03-13 12:17:00,5:25,
55,gumgum,honda,2018-03-14 11:03:00,2018-03-14 13:50:00,2:47,
56,gumgum,infinity,2018-03-14 13:52:00,2018-03-14 14:05:00,0:13,
57,ami,communication,2018-03-14 14:21:00,2018-03-14 14:44:00,0:23,
58,valley heritage,updates,2018-03-14 7:15:00,2018-03-14 8:16:00,1:01,
59,jkb,updates,2018-03-14 8:17:00,2018-03-14 11:02:00,2:45,
60,valley heritage,premiere properties,2018-03-15 10:23:00,2018-03-15 10:42:00,0:19,
61,jkb,updates,2018-03-15 10:45:00,2018-03-15 10:57:00,0:12,
62,ets,pace,2018-03-15 11:13:00,2018-03-15 12:14:00,1:01,
63,ami,moisture,2018-03-15 13:20:00,2018-03-15 14:22:00,1:02,
